Dataset,Tool,Cell_Type,Uncorrected,Corrected,Change_Type,Pct_Change
PBMC,DecontX,T cells,17458,17805,Stable,1.9876274487341048
PBMC,DecontX,Monocytes,10517,11210,Changed (>5%),6.589331558429209
PBMC,DecontX,NK cells,3995,4106,Stable,2.778473091364205
PBMC,DecontX,B cells,3964,4049,Stable,2.144298688193744
PBMC,DecontX,DC,293,326,Changed (>5%),11.262798634812286
PBMC,DecontX,pDC,203,212,Stable,4.433497536945813
PBMC,DecontX,HSC/MPP,81,86,Changed (>5%),6.172839506172839
PBMC,DecontX,Mast cells,2,2,Stable,0.0
PBMC,DecontX,Total_Confident,36513,37796,Stable,3.5138169966861117
PBMC,SoupX,T cells,17458,17551,Stable,0.532707068392714
PBMC,SoupX,Monocytes,10517,10556,Stable,0.3708281829419036
PBMC,SoupX,NK cells,3995,4037,Stable,1.0513141426783479
PBMC,SoupX,B cells,3964,3993,Stable,0.7315842583249244
PBMC,SoupX,DC,293,295,Stable,0.6825938566552902
PBMC,SoupX,pDC,203,205,Stable,0.9852216748768473
PBMC,SoupX,HSC/MPP,81,81,Stable,0.0
PBMC,SoupX,Mast cells,2,2,Stable,0.0
PBMC,SoupX,Total_Confident,36513,36720,Stable,0.5669213704707912
PBMC,scAR,T cells,17458,17914,Stable,2.611983045022339
PBMC,scAR,Monocytes,10517,10780,Stable,2.500713131121042
PBMC,scAR,NK cells,3995,4208,Changed (>5%),5.331664580725907
PBMC,scAR,B cells,3964,4111,Stable,3.708375378405651
PBMC,scAR,DC,293,324,Changed (>5%),10.580204778156997
PBMC,scAR,pDC,203,209,Stable,2.955665024630542
PBMC,scAR,HSC/MPP,81,59,Changed (>5%),-27.160493827160494
PBMC,scAR,Mast cells,2,0,Loss,-100.0
PBMC,scAR,Total_Confident,36513,37605,Stable,2.9907156355270725
PBMC,CellBender,T cells,17458,19410,Changed (>5%),11.181120403253523
PBMC,CellBender,Monocytes,10517,11801,Changed (>5%),12.208804792241134
PBMC,CellBender,NK cells,3995,4490,Changed (>5%),12.390488110137673
PBMC,CellBender,B cells,3964,4275,Changed (>5%),7.84561049445005
PBMC,CellBender,DC,293,323,Changed (>5%),10.238907849829351
PBMC,CellBender,pDC,203,211,Stable,3.9408866995073892
PBMC,CellBender,HSC/MPP,81,94,Changed (>5%),16.049382716049383
PBMC,CellBender,Mast cells,2,0,Loss,-100.0
PBMC,CellBender,Total_Confident,36513,40604,Changed (>5%),11.204228630898584
PBMC,CellClear,T cells,17458,13391,Changed (>5%),-23.29591018444266
PBMC,CellClear,Monocytes,10517,10820,Stable,2.881049729010174
PBMC,CellClear,NK cells,3995,3591,Changed (>5%),-10.112640801001252
PBMC,CellClear,B cells,3964,4155,Stable,4.818365287588295
PBMC,CellClear,DC,293,305,Stable,4.09556313993174
PBMC,CellClear,pDC,203,221,Changed (>5%),8.866995073891626
PBMC,CellClear,HSC/MPP,81,79,Stable,-2.4691358024691357
PBMC,CellClear,Mast cells,2,2,Stable,0.0
PBMC,CellClear,Total_Confident,36513,32564,Changed (>5%),-10.815326048256784
PBMC,scCDC,T cells,17458,16861,Stable,-3.4196356971016155
PBMC,scCDC,Monocytes,10517,10861,Stable,3.270894741846534
PBMC,scCDC,NK cells,3995,3704,Changed (>5%),-7.284105131414267
PBMC,scCDC,B cells,3964,4158,Stable,4.894046417759839
PBMC,scCDC,DC,293,299,Stable,2.04778156996587
PBMC,scCDC,pDC,203,226,Changed (>5%),11.330049261083744
PBMC,scCDC,HSC/MPP,81,85,Stable,4.938271604938271
