,Tool,Zelltyp,Marker,Anzahl Zellen,Marker in cells unc,Marker in cells corr,Marker counts unc,Marker counts corr,Cell counts unc,Cell counts corr,Entfernte_Marker_Counts,Entfernte_Marker_Counts_total,Entfernte % true Marker,Entfernt_%_vom_Marker,Entfernte_Zellen,Entfernt_%_Zellen,Entfernte % Marker pro Counts,ratio unc,ratio corr,change,log2fold
0,CellBender,all cells,PTPRC (broad),41428,899785,864007,899785,864007,372750304,358520448,35778,35778,100.0,3.9762832232144345,14229856,3.8175303540463377,0.25142910792632056,inf,inf,,
1,CellBender,B cells,MS4A1 (high),4276,48152,48152,50900,48860,27656504,25679096,0,2040,0.0,4.007858546168959,1977408,7.149884164679672,0.10316535585979221,17.522561863173216,68.01129943502825,3.88135593220339,1.9565607387351027
2,CellBender,NK cells,KLRF1 (high),4783,27622,27622,35597,33957,31377322,29647108,0,1640,0.0,4.607129814310194,1730214,5.5142181987360175,0.09478596289245146,3.4635736677115987,4.360220994475138,1.2588792423046566,0.3321398995114222
3,CellBender,Monocytes/NK cells,FCGR3A (moderate),16685,59921,58833,66581,64368,201277456,196850176,1088,2213,49.164030727519204,3.323771045793845,4427280,2.1995905989590803,0.04998554417159068,8.997147147147148,10.629268292682926,1.181404296144395,0.24050276340383775
4,CellBender,Monocytes,CD14 (high),11902,106704,105860,109303,106513,169900144,167203056,844,2790,30.25089605734767,2.552537441790253,2697088,1.5874548052178226,0.10344490057424896,41.05579068872643,162.1133231240429,3.9486104250954743,1.9813450366998615
5,CellBender,B/T cells,CCR7 (moderate),24066,30350,30029,30954,30255,159642192,149961488,321,699,45.92274678111588,2.2581895716224074,9680704,6.0640009252691796,0.007220549249310795,50.24834437086093,132.8716814159292,2.644299689463632,1.4028856927311786
6,CellBender,MAIT cells,SLC4A10 (high),378,1332,1332,2095,1980,2848849,2730930,0,115,0.0,5.4892601431980905,117919,4.139180419881854,0.0975245719519331,1.745740498034076,2.0555555555555554,1.177469135802469,0.23568924394990548
7,CellBender,DC/pDC,IL3RA (moderate),571,1561,1561,8657,8107,9772939,9670087,0,550,0.0,6.353240152477764,102852,1.052416269046599,0.5347489596702057,0.21998308906426156,0.23846623892453406,1.0840207760464404,0.11639240725630029
8,CellBender,DC,CD1C (high),360,2360,2360,4946,4824,7080229,7028859,0,122,0.0,2.4666397088556407,51370,0.7255415043778951,0.2374927000194666,0.9126063418406806,0.9577922077922078,1.049512987012987,0.06972001911535279
9,CellBender,HSC/MPP,CD34 (high),106,339,339,364,349,2057677,2038709,0,15,0.0,4.1208791208791204,18968,0.9218162034177376,0.07908055672711936,13.56,33.9,2.5,1.3219280948873624
10,scAR,all cells,PTPRC (broad),38030,807316,616585,807316,616585,336031296,239793984,190731,190731,100.0,23.625321435472603,96237312,28.639389588284065,0.19818820376030452,inf,inf,,
11,scAR,B cells,MS4A1 (high),4111,44817,43261,47286,43355,26356008,19375964,1556,3931,39.58280335792419,8.313242820285074,6980044,26.483692067478504,0.05631769656466349,18.15188335358445,460.22340425531917,25.354030504192224,4.664143204096272
12,scAR,NK cells,KLRF1 (high),4342,24935,23921,32647,29529,28403088,19739236,1014,3118,32.52084669660039,9.550647839005116,8663852,30.503204440305925,0.03598861107045689,3.2332728215767634,4.265513552068474,1.319255685323925,0.3997242008294639
13,scAR,Monocytes/NK cells,FCGR3A (moderate),15182,54926,50525,61109,54750,180574880,126442480,4401,6359,69.20899512501965,10.405995843492775,54132400,29.97781308230691,0.011747123718881853,8.8833899401585,11.958579881656805,1.3461730220348107,0.42886384976200614
14,scAR,Monocytes,CD14 (high),10840,96031,82759,98499,83107,152171776,106703240,13272,15392,86.22661122661123,15.626554584310501,45468536,29.87974327118322,0.033851980631177565,38.910453808752024,237.8132183908046,6.111807884834124,2.6115991952137882
15,scAR,B/T cells,CCR7 (moderate),22207,27929,26137,28538,26306,144660304,105872832,1792,2232,80.28673835125448,7.821150746373257,38787472,26.81279585863445,0.005754435349640729,45.860426929392446,154.65680473372782,3.3723367855218678,1.7537486212562048
16,scAR,MAIT cells,SLC4A10 (high),315,1151,1098,1839,1698,2282782,1684552,53,141,37.5886524822695,7.6672104404567705,598230,26.206181755419482,0.023569530113835818,1.6729651162790697,1.83,1.093866203301477,0.12943628507918528
17,scAR,DC/pDC,IL3RA (moderate),549,1562,1442,7806,3247,9117827,6361902,120,4559,2.6321561745996926,58.40379195490648,2755925,30.22567767517414,0.16542540163465988,0.2501601537475977,0.7988919667590028,3.193522048939317,1.6751484113022186
18,scAR,DC,CD1C (high),339,1874,1665,4151,3454,6376657,4358325,209,697,29.98565279770445,16.79113466634546,2018332,31.651882796894988,0.034533466248367464,0.8230127360562143,0.9306875349357183,1.1308300517868894,0.17738212838415215
19,scAR,HSC/MPP,CD34 (high),92,284,337,305,338,1678270,111677,-53,-33,160.6060606060606,-10.819672131147541,1566593,93.34570718656711,-0.0021064820281974962,13.523809523809524,337.0,24.919014084507044,4.639175084455937
20,DecontX,all cells,PTPRC (broad),38362,821147,729273,821147,729273,341802336,305571968,91874,91874,100.0,11.188496091442824,36230368,10.59980116695282,0.2535828507179392,inf,inf,,
21,DecontX,B cells,MS4A1 (high),4051,44374,44144,47657,44160,25696538,24110582,230,3497,6.57706605661996,7.337851732169461,1585956,6.17186642029366,0.22049792049716388,13.516296070667073,2759.0,204.1239689908505,7.673301788675995
22,DecontX,NK cells,KLRF1 (high),4397,25237,24978,33154,29118,28548402,26363252,259,4036,6.417244796828543,12.173493394462206,2185150,7.654193744364396,0.1847012790883921,3.1876973601111533,6.033333333333333,1.8926932678210562,0.9204406250673697
23,DecontX,Monocytes/NK cells,FCGR3A (moderate),15656,56061,51947,61948,54166,187362128,167366784,4114,7782,52.865587252634285,12.562148899076645,19995344,10.672030795892754,0.038919060357251165,9.522846950908782,23.410094637223974,2.4583083985183554,1.2976659153458971
24,DecontX,Monocytes,CD14 (high),11259,98726,94448,101169,95103,158813728,141003552,4278,6066,70.5242334322453,5.995907837381016,17810176,11.21450659479513,0.03405918054936684,40.41178878428162,144.19541984732825,3.568152368039047,1.8351772228593504
25,DecontX,B/T cells,CCR7 (moderate),22043,27732,27224,28618,27244,143487808,130024832,508,1374,36.972343522561864,4.80117408623943,13462976,9.382661975016024,0.0102057672835486,31.30022573363431,1361.2,43.488504255012266,5.442562184443878
26,DecontX,MAIT cells,SLC4A10 (high),315,1157,1150,1871,1688,2279675,2160129,7,183,3.825136612021858,9.780865847140568,119546,5.243993113053396,0.15307914944874776,1.6204481792717087,2.137546468401487,1.3191081922546772,0.3995628981967231
27,DecontX,DC/pDC,IL3RA (moderate),555,1623,1510,7987,7036,9200709,6536088,113,951,11.88222923238696,11.90684862902216,2664621,28.96103985029849,0.03568987859811958,0.25502828409805156,0.27325370973579444,1.071464330720022,0.09958382318302578
28,DecontX,DC,CD1C (high),343,1799,1473,4185,3586,6468164,3939205,326,599,54.42404006677797,14.313022700119474,2528959,39.09856027150826,0.023685635077516084,0.7539815590947192,0.6971131093232371,0.9245758081407691,-0.1131364804553456
29,DecontX,HSC/MPP,CD34 (high),95,284,283,311,287,1711940,1605000,1,24,4.166666666666666,7.717041800643088,106940,6.246714254004229,0.022442491116513932,10.518518518518519,70.75,6.726232394366197,2.749798625490669
30,SoupX,all cells,PTPRC (broad),37560,794716,766708,794716,766708,330878912,319319872,28008,28008,100.0,3.524277855233819,11559040,3.493435084796217,0.24230385914401198,inf,inf,,
31,SoupX,B cells,MS4A1 (high),3996,44120,43986,46493,45004,25270024,24385944,134,1489,8.999328408327736,3.2026326543780783,884080,3.498532490511287,0.16842367206587638,18.592498946481246,43.208251473477404,2.323961485642835,1.2165861595632208
32,SoupX,NK cells,KLRF1 (high),4387,25116,25010,32116,31009,28740038,27729408,106,1107,9.57542908762421,3.446880059783285,1010630,3.5164532489483835,0.1095356361873287,3.588,4.1690281713618935,1.1619365026092234,0.2165312306410542
33,SoupX,Monocytes/NK cells,FCGR3A (moderate),15035,54536,53357,60359,58257,178278000,172043488,1179,2102,56.08943862987631,3.482496396560579,6234512,3.4970731105352315,0.03371554982972204,9.365619096685558,10.889183673469388,1.1626763336257195,0.21744953459085137
34,SoupX,Monocytes,CD14 (high),10648,94818,93326,97214,94014,149537952,144314064,1492,3200,46.625,3.291706955788261,5223888,3.493352644016417,0.06125705604714343,39.573455759599334,135.64825581395348,3.427758663230953,1.7772655378003197
35,SoupX,B/T cells,CCR7 (moderate),21891,27552,27150,28068,27358,142042112,137090112,402,710,56.61971830985916,2.529571041755736,4952000,3.486290037703748,0.014337641357027465,53.395348837209305,130.52884615384616,2.444573338247119,1.2895826874644043
36,SoupX,MAIT cells,SLC4A10 (high),317,1156,1156,1822,1771,2286970,2206604,0,51,0.0,2.7991218441273324,80366,3.5140819512280443,0.06345967200059727,1.7357357357357357,1.8796747967479674,1.0829268292682928,0.11493576684466002
37,SoupX,DC/pDC,IL3RA (moderate),531,1516,1508,7631,7362,8883363,8569536,8,269,2.973977695167286,3.5250950072074434,313827,3.53274992815221,0.08571601551173098,0.24791496320523304,0.25760163990433893,1.0390725778463274,0.055296428103570994
38,SoupX,DC,CD1C (high),326,1816,1809,4124,3999,6214687,5993219,7,125,5.6000000000000005,3.0310378273520855,221468,3.5636227536479312,0.056441562663680535,0.7868284228769498,0.826027397260274,1.049818960835194,0.07014055948727269
39,SoupX,HSC/MPP,CD34 (high),89,268,268,289,284,1633129,1575492,0,5,0.0,1.7301038062283738,57637,3.529237433172762,0.008674983083782986,12.761904761904763,16.75,1.3125,0.3923174227787603
40,CellClear,all cells,PTPRC (broad),38132,814113,80172,814113,80172,338871456,263707088,733941,733941,100.0,90.1522270249953,75164368,22.180790582727628,0.9764480425086526,inf,inf,,
41,CellClear,B cells,MS4A1 (high),4159,45344,45344,48399,48399,27119452,21118270,0,0,,0.0,6001182,22.128699355724443,0.0,14.842553191489362,14.842553191489362,1.0,0.0
42,CellClear,NK cells,KLRF1 (high),4575,25897,17304,33156,19503,29535390,21682912,8593,13653,62.93854830440196,41.17806731813246,7852478,26.58667449456398,0.1738686819625601,3.5675712908114066,7.869031377899045,2.2057110388141163,1.1412438017290456
43,CellClear,Monocytes/NK cells,FCGR3A (moderate),15525,56114,56114,61178,61178,183671424,148680272,0,0,,0.0,34991152,19.05095046249546,0.0,11.080963665086887,11.080963665086887,1.0,0.0
44,CellClear,Monocytes,CD14 (high),10950,96904,96904,99414,99414,154136032,126997352,0,0,,0.0,27138680,17.60696681227657,0.0,38.60717131474104,38.60717131474104,1.0,0.0
45,CellClear,B/T cells,CCR7 (moderate),21943,28192,28192,28943,28943,144348512,105973696,0,0,,0.0,38374816,26.584836565547693,0.0,37.539280958721704,37.539280958721704,1.0,0.0
46,CellClear,MAIT cells,SLC4A10 (high),314,1148,1148,1859,1859,2266676,1660871,0,0,,0.0,605805,26.726581125842426,0.0,1.6146272855133614,1.6146272855133614,1.0,0.0
47,CellClear,DC/pDC,IL3RA (moderate),562,1591,1591,7866,7866,9244376,7685301,0,0,,0.0,1559075,16.86511885713,0.0,0.25354581673306775,0.25354581673306775,1.0,0.0
48,CellClear,DC,CD1C (high),340,1834,1834,4090,4090,6359052,5337606,0,0,,0.0,1021446,16.062865974362218,0.0,0.8129432624113475,0.8129432624113475,1.0,0.0
49,CellClear,HSC/MPP,CD34 (high),88,266,266,287,287,1566296,1334171,0,0,,0.0,232125,14.819995709623212,0.0,12.666666666666666,12.666666666666666,1.0,0.0
50,scCDC,all cells,PTPRC (broad),38436,822571,206437,822571,206437,342647936,256888912,616134,616134,100.0,74.90344298546873,85759024,25.028320614194506,0.7184480084568127,inf,inf,,
51,scCDC,B cells,MS4A1 (high),4187,45565,45565,48719,48719,27401140,18898836,0,0,,0.0,8502304,31.029015581103558,0.0,14.446734305643627,14.446734305643627,1.0,0.0
52,scCDC,NK cells,KLRF1 (high),4371,25089,25089,33423,33423,28845648,21535816,0,0,,0.0,7309832,25.341195316534403,0.0,3.0104391648668107,3.0104391648668107,1.0,0.0
53,scCDC,Monocytes/NK cells,FCGR3A (moderate),15461,55590,55590,61928,61928,185166576,149010944,0,0,,0.0,36155632,19.52600344027531,0.0,8.77090564846955,8.77090564846955,1.0,0.0
54,scCDC,Monocytes,CD14 (high),11090,97763,97763,100385,100385,156320928,127475136,0,0,,0.0,28845792,18.452930371549485,0.0,37.28565980167811,37.28565980167811,1.0,0.0
55,scCDC,B/T cells,CCR7 (moderate),22280,28135,28135,29054,29054,145893776,98494080,0,0,,0.0,47399696,32.48918308893452,0.0,30.61479869423286,30.61479869423286,1.0,0.0
56,scCDC,MAIT cells,SLC4A10 (high),308,1143,1143,1889,1889,2217430,1481692,0,0,,0.0,735738,33.179762157091766,0.0,1.532171581769437,1.532171581769437,1.0,0.0
57,scCDC,DC/pDC,IL3RA (moderate),584,1643,1643,7982,7982,9801853,7931624,0,0,,0.0,1870229,19.080361641824258,0.0,0.25918914655308406,0.25918914655308406,1.0,0.0
58,scCDC,DC,CD1C (high),354,1875,1875,4201,4201,6840795,5625138,0,0,,0.0,1215657,17.77069770399493,0.0,0.8061049011177988,0.8061049011177988,1.0,0.0
59,scCDC,HSC/MPP,CD34 (high),97,290,290,311,311,1743399,1416262,0,0,,0.0,327137,18.76432187927147,0.0,13.80952380952381,13.80952380952381,1.0,0.0
