,Tool,Zelltyp,Marker,Anzahl Zellen,Marker in cells unc,Marker in cells corr,Marker counts unc,Marker counts corr,Cell counts unc,Cell counts corr,Entfernte_Marker_Counts,Entfernte_Marker_Counts_total,Entfernte % true Marker,Entfernt_%_vom_Marker,Entfernte_Zellen,Entfernt_%_Zellen,Entfernte % Marker pro Counts,ratio unc,ratio corr,change,log2fold
0,CellBender,Astrocytes,GFAP (high),22068,16752,16646,23489,20849,88605248,78787696,106,2640,4.015151515151516,11.23930350376772,9817552,11.0801021627974,0.026890613871971343,2.4865667210924745,3.960504401617892,1.5927601572170331,0.6715290377077578
1,CellBender,all cells,GAPDH (broad),152560,122189,101611,122189,101611,935930752,873257280,20578,20578,100.0,16.84112317802748,62673472,6.696379178274933,0.032833668445877706,inf,inf,,
2,CellBender,Inhibitory Interneurons,GAD1 (high),22748,60943,60939,80320,74172,162484608,154254544,4,6148,0.06506180871828238,7.654382470119522,8230064,5.065134538774282,0.07470172771438958,3.1451205036899417,4.605078213557016,1.4641977018540981,0.5501103652528332
3,CellBender,Microglia,P2RY12 (high),5710,11775,11775,17476,15730,9477086,6496118,0,1746,0.0,9.990844586861982,2980968,31.45447872901016,0.05857157809141192,2.065427118049465,2.97724399494311,1.4414664981036664,0.5275373067729074
4,CellBender,Excitatory neurons,SLC17A7 (high),59512,78200,76035,86306,78212,552090112,531289856,2165,8094,26.748208549542873,9.378258753736704,20800256,3.7675472803975887,0.038912982609444806,9.647174932149026,34.926504363803396,3.6203867566878554,1.8561438249745519
5,CellBender,COP,GPR17 (high),897,5296,5296,11200,10531,3904699,3499912,0,669,0.0,5.973214285714286,404787,10.366663345881461,0.1652721060706001,0.8970189701897019,1.0116523400191022,1.1277936962750716,0.1735031842422253
6,CellBender,Pericytes,ABCC9 (high),287,536,534,13470,12657,878374,750235,2,813,0.24600246002460024,6.035634743875278,128139,14.588205024283504,0.6344672582117856,0.04144116282665842,0.04404850284583024,1.062916671283523,0.08802849937304283
7,CellBender,Oligodendrocytes/OPCs/COP,OLIG2 (moderate),35785,6813,6766,8741,8082,112122872,95151424,47,659,7.132018209408194,7.539183159821531,16971448,15.136472779612708,0.0038829921878203912,3.533713692946058,5.141337386018237,1.4549388639722827,0.5409585328606645
8,CellBender,Oligodendrocytes,MOG (highly),22485,36745,36726,41847,40323,62655620,52256308,19,1524,1.246719160104987,3.6418381245967453,10399312,16.597572572101274,0.014654815626264505,7.202077616620933,10.210175145954963,1.4176708013243222,0.503522561889873
9,CellBender,Macrophages,F13A1 (highly),176,505,505,3760,3305,233906,137115,0,455,0.0,12.101063829787234,96791,41.38029806845485,0.47008502856670553,0.15514592933947774,0.18035714285714285,1.1624999999999999,0.2172307162206689
10,scAR,Astrocytes,GFAP (high),22200,16923,15883,24985,19551,84477360,64740436,1040,5434,19.138755980861244,21.749049429657795,19736924,23.363566285688854,0.027532152426588866,2.099106921359464,4.330152671755725,2.062854744412613,1.0446422376599471
11,scAR,all cells,GAPDH (broad),161494,126689,54488,126689,54488,959950208,713479872,72201,72201,100.0,56.99074110617338,246470336,25.675325026858058,0.02929399179299208,inf,inf,,
