,Tool,Zelltyp,Marker,Anzahl Zellen,Marker in cells unc,Marker in cells corr,Marker counts unc,Marker counts corr,Cell counts unc,Cell counts corr,Entfernte_Marker_Counts,Entfernte_Marker_Counts_total,Entfernte % true Marker,Entfernt_%_vom_Marker,Entfernte_Zellen,Entfernt_%_Zellen,Entfernte % Marker pro Counts,ratio unc,ratio corr,change,log2fold
0,CellBender,all cells,PTPRC (broad),118951,814926,657374,814926,657374,404436352,350750912,157552,157552,100.0,19.33328915754314,53685440,13.274138126930785,0.2934724945907121,inf,inf,,
1,CellBender,B cells,MS4A1 (high),2015,20133,20133,23814,22730,12779298,11985543,0,1084,0.0,4.551944234483917,793755,6.211256674662411,0.13656606887515668,5.469437652811736,7.752406623026569,1.4174046977281476,0.5032517357056535
2,CellBender,NK cells,KLRF1 (high),5978,11184,11184,14122,13448,22313030,19627928,0,674,0.0,4.772695085681915,2685102,12.03378474371253,0.025101467281317433,3.8066712049012934,4.939929328621908,1.297703180212014,0.3759604377243974
3,CellBender,Monocytes/NK cells,FCGR3A (moderate),63040,98407,97758,132795,128919,173989632,144492960,649,3876,16.74406604747162,2.9187845927934033,29496672,16.953120516974252,0.013140465473528675,2.8616668605327438,3.137190719168191,1.0962808992323287,0.1326175063334181
4,CellBender,Monocytes,CD14 (high),57062,82868,81573,115584,112353,151676592,124865040,1295,3231,40.08047044258743,2.7953696013289036,26811552,17.67678957343662,0.012050775725329142,2.532950238415454,2.6501949317738793,1.0462877997286557,0.06527974463558407
5,CellBender,B/T cells,CCR7 (moderate),29439,48521,48197,51964,50323,131327048,118731928,324,1641,19.74405850091408,3.1579555076591483,12595120,9.590651881552992,0.013028855620271979,14.092651757188499,22.67027281279398,1.6086591227396316,0.6858586492222872
6,CellBender,MAIT cells,SLC4A10 (high),653,567,567,1671,1643,2856669,2589825,0,28,0.0,1.6756433273488927,266844,9.341089219647078,0.010493022140276717,0.5135869565217391,0.5269516728624535,1.0260223048327137,0.03706209422154487
7,CellBender,DC/pDC,IL3RA (moderate),748,1126,1123,11439,10740,7142006,6920129,3,699,0.4291845493562232,6.110674009965906,221877,3.106648188198106,0.31503941372922833,0.10918258508678368,0.11677238223978371,1.069514722947504,0.09695634279014802
8,CellBender,DC,CD1C (high),405,2314,2314,4561,4473,4561170,4451457,0,88,0.0,1.9294014470510854,109713,2.405369674886049,0.08020927328575465,1.0298175344904317,1.0717924965261696,1.0407596109309867,0.05763688115740213
9,CellBender,HSC/MPP,CD34 (high),67,194,194,253,252,651320,632549,0,1,0.0,0.3952569169960474,18771,2.8819934901430937,0.0053273666826487666,3.288135593220339,3.3448275862068964,1.0172413793103448,0.02466205423426903
10,scAR,all cells,PTPRC (broad),123292,806253,804825,806253,804825,394847200,322239744,1428,1428,100.0,0.1771156200349022,72607456,18.38874784980114,0.0019667401650871777,inf,inf,,
